 ERC20 uniq rec token name,avg val received,total Ether sent,Received Tnx,Time Diff between first and last (Mins),Avg min between received tnx,max value received ,Sent tnx,FLAG,Avg min between sent tnx,Number of Created Contracts,avg val sent,,total ether balance, ERC20 total Ether received, ERC20 total ether sent, ERC20 total Ether sent contract, ERC20 uniq sent addr,FLAG
5,1.429861,211.6150523,148,327679.35,2103.12,14.341,10,1,1641.74,0,21.161505,,0.004326,2095.638173,0,0,0,1
1,0.498,2.489034,5,9812.92,837.98,0.5,2,1,2811.51,0,1.244517,,0.000966,13.37,0,0,0,1
0,101,100.9990158,1,314.65,0,101,2,0,157.32,0,50.499508,,0.000984218,0,0,0,0,0
0,50.5,100.998446,2,68.37,3.92,88.309828,3,0,20.17,0,33.666149,,0.001554,0,0,0,0,0
0,3.5674,35.66365972,10,243074.38,24303.06,9,10,0,4.38,0,3.566366,,0.01034028,0,0,0,0,0
4,2.293015,0.150203615,24,498887.17,20006.65,27.292471,2,1,9363.73,0,0.075102,,54.88215264,100.3370001,0,0,0,1
0,10,9.9978,1,519.63,0,10,1,0,0,0,9.9978,,0.0022,0,0,0,0,0
0,0.094,0.09358,1,201.27,0,0.094,1,0,0,0,0.09358,,0.00042,0,0,0,0,0
0,50.5,100.9989738,2,325.83,0.21,59.567946,2,0,162.71,0,50.499487,,0.001026218,0,0,0,0,0
0,129.97006,2599.390622,20,498256.47,18633.46,499.99,21,0,5980.35,0,123.780506,,0.0105747,0,0,0,0,0
0,50.5,100.9984557,2,72.45,0.25,96.471994,3,0,23.98,0,33.666152,,0.001544256,0,0,0,0,0
0,50.5,100.9990158,2,318.03,0.3,51.064491,2,0,158.72,0,50.499508,,0.000984218,0,0,0,0,0
1,0.075,0.110734264,2,22889.93,680.22,0.1,10,0,2152.95,0,0.011073,,0.039265736,0,0,0,1,0
0,8.870693,62.09171492,7,76400.45,10900.63,31.575882,7,0,13.72,0,8.870245,,0.00313734,0,0,0,0,0
1,2.168673,19.5170047,9,32035.63,2829.96,16.120589,1,1,0,0,19.517005,,0.00105,0,0,0,0,1
51,108.095687,25716.45923,222,728812.33,1258.47,2500.49916,263,0,1710.28,0,97.781214,,-1719.216792,8529077.762,8508703.727,0,17,0
0,6.018563,30.09021542,5,144928.92,28969.79,10,5,0,15.99,0,6.018043,,0.002601158,0,0,0,0,0
4,37.400162,2804.975576,75,477202.53,2079.55,100.42,61,0,5266.17,0,45.983206,,0.036540002,44.43043839,0,0,0,0
12,14.932481,204.7837956,8,736417.52,15955.35,33.99,26,0,23414.41,0,7.8763,,-85.32394475,1322.499249,0,0,0,0
2,7.327447,58.61786659,8,60051.58,2223.62,14.826144,3,0,14087.54,0,19.539289,,0.001711752,603.888216,0,0,0,0
0,1.3716,0,1,8.22,0,1.3716,0,0,0,1,0,,1.3716,0,0,0,0,0
0,101,100.9990158,1,323,0,101,2,0,161.5,0,50.499508,,0.000984218,0,0,0,0,0
21,23.724138,0,29,412324.93,14218.1,40,0,0,0,0,0,,688,4598776.195,0,0,0,0
0,1000.5,2000.998585,2,9.63,0.42,1163.145355,3,0,2.93,0,666.999528,,0.001414909,0,0,0,0,0
2,2.613806,138.5159923,10,1045767.9,44441.43,10,923,0,651.52,0,0.150071,,-112.3779371,365,0,0,0,0
0,1.933135,1.932552285,1,25.45,0,1.933135,1,0,0,0,1.932552,,0.000582715,0,0,0,0,0
0,1.409452,1.40894829,1,39.15,0,1.409452,1,0,0,0,1.408948,,0.000504,0,0,0,0,0
